Token,Lemma
Mittwoch,Mittwoch
wochts,wochts
ein,ein
französisches,französisch
Flugzeug,Flugzeug
mit,mit
zwei,zwei
Offizieren,Offizier
und,und
einem,ein
Mann,Mann
",",--
das,der
Zee-,Zee-
Hrügge,Hrügge
mit,mit
Bomben,Bombe
beworfen,bewerfen
hatte,haben
.,--
Die,der
In-,In
fossen,fosse
wurden,werden
interniert,internieren
.,--
 , 
Bisher,bisher
112070,112070
Mann,Mann
gefangen,gefangen
 , 
Halbamtlich,Halbamtlich
wird,werden
zum,zu
Fall,Fall
von,von
Armentidres,Armentidr
geschrieben,schreiben
:,--
 , 
Einn,Einn
schnürung,schnürung
außerordentlich,außerordentlich
tapfer,tapf
.,--
Erst,erst
als,als
in,in
frischem,frisch
Ansturm,Ansturm
deutscher,deutsch
Truppen,Truppe
auch,auch
west,West
»,--
 , 
wärts,wärts
die,der
Umklammerung,Umklammerung
des,der
mächtigen,mächtig
Stüß-,Stüß
punktes,Punktes
erreicht,erreichen
war,sein
",",--
ergab,ergeben
sich,sich
der,der
Nest,Nest
der,der
tap-,tap
feren,fer
Besaßung,Besaßung
",",--
die,der
während,während
der,der
Einschließung,Einschließung
ich,ich
schwere,schwer
Verluste,Verlust
erlitten,erleiden
hatts,hatts
",",--
 , 
Die,der
Giroßen,Giroß
und,und
der,der
Stadtrand,Stadtrand
liegen,liegen
voller,voller
"""",--
Beute,Beute
an,an
Maschlnengewehren,maschlnengewehren
und,und
Muni,Muni
»,--
 , 
RE,RE
NSBETE,NSBETE
KHE,KHE
[,[
H,H
],]
il,il
:,--
|,|
Tap,Tap
 , 
ii,ii
;,--
[,[
NT,NT
 , 
Ä,Ä
[,[
4,4
],]
|,|
 , 
Maschinengewehre,Maschinengewehr
",",--
die,der
zum,zu
Teil,Teil
von,von
den,der
Deut-,Deut
Ichen,Iche
sofort,sofort
eingeseßt,eingeseßen
wurden,werden
",",--
auch,auch
das,der
übrige,übrig
genommene,genommen
Kriegsmaterial,Kriegsmaterial
läßt,lassen
sich,sich
nicht,nicht
au-,au
nähernd,nähernd
übersehen,übersehen
.,--
Die,der
Tankbeute,Tankbeut
hat,haben
sich,sich
von,von
100,100
auf,auf
200,200
erhöht,erhöhen
.,--
 , 
Kompagnie,Kompagnie
auf,auf
Kompagnie,Kompagnie
von,von
Divisioun,Divisioun
",",--
die,der
vor,vor
Quentin,Quentin
abgekämpft,abgekämpfen
waren,sein
",",--
planlos,planlos
in,in
den,der
Kampf,Kampf
.,--
Dieses,dieser
kopflose,kopflos
Verfahren,Verfahren
lieferte,liefern
den,der
wiederholt,wiederholt
geschlossene,geschlossen
bri,bri
«,--
tische,tisch
Kompagnien,Kompagn
in,in
die,der
Hand,Hand
.,--
Es,es
zade,zade
in,in
den,der
leßten,leßt
Nächten,Nächte
vor,vor
Beginn,Beginn
der,der
 , 
Siegreicher,Siegreicher
Fortschrift,Fortschrift
in,in
der,der
Lys-Ebene,Lys-Ebene
.,--
 , 
Atmentieres,Atmentieres
gefallen,fallen
.,--
 , 
(,--
VB,VB
.,--
T.,T.
B.,B.
),--
Berlin,Berlin
",",--
12.,12.
Aprik,Aprik
.,--
Unfere,unfere
siegreichen,siegreich
Truppen,Truppe
find,find
im,in
 , 
Yardi,Yardi
den,der
Uebergang,Uebergang
über,über
die,der
Lawe,Lawe
und,und
ftießen,ftießen
bis,bis
in,in
Höhe,Höhe
von,von
Merville,Merville
vor,vor
.,--
 , 
Fortschreiten,Fortschreiten
dur,dur
<,<
die,der
weite,weit
Lys-,Lys-
Die,der
Gesamtbeute,Gesamtbeute
aus,aus
der,der
Schlacht,Schlacht
 , 
bene,ben
zwischen,zwischen
Arentieres,Arentier
und,und
Mere,Mere
ville,villen
",",--
.,--
(,--
Umtlich,umtlich
.,--
),--
Großes,groß
Hauptquartier,Hauptquartier
",",--
den,der
12.,12.
April,April
.,--
Westlicher,Westlicher
Krieosschaup'a4.,Krieosschaup'a4.
Arwentidves,Arwentidves
ift,ift
gefallen,fallen
.,--
Dnre,Dnre
<,<
die,der
 , 
streckte,strecken
die,der
englischs,englisch
Besatzung,Besatzung
=,=
60,60
tapferev,tapferev
Wehr,Wehr
die,der
Waffen,Waffe
.,--
Mit,mit
ihnen,ihnen
 , 
Nordwestlic,Nordwestlic
>,>
k,k
von,von
Armentiöres,Armentiör
ge-,ge
wannen,wannen
wir,wir
Naum,Naum
.,--
Westlich,westlich
von,von
Ar-,Ar-
mentidres,Mentidres
warfen,werfen
die,der
Truppen,Truppe
der,der
Gs-,Gs
 , 
terbem,terb
Kampf,Kampf
um,um
die,der
4.,4.
englische,englisch
Stel-,Stel
Tung,Tung
deu,deu
Feind,Feind
in,in
Richtung,Richtung
Baillenl,Baillenl
und,und
Merville,Merville
zurüc,zurüc
“,--
.,--
Mervilie,Mervilie
wurde,werden
ge,ge
»,--
nommen,nommen
.,--
 , 
Auf,auf
dem,der
Südufer,Südufer
der,der
Lys,Lys
erkämpften,erkämpfen
fich,fich
dis,dis
Truppen,Truppe
des,der
Geuerals,Geueral
von,von
Bern-,Bern
 , 
von,von
Armentidres,Armentidres
beträgt,betragen
nach,nach
bieheri-,bieheri-
gen,gen
Feststellungen,Feststellung
20000,20000
Gefangene,gefangener
",",--
darunter,darunter
1,1
englischer,englisch
und,und
1,1
portugiesi-,portugiesi
scher,sch
General,General
und,und
mehr,mehr
als,als
2090,2090
Ge-,Ge
 , 
Die,der
Aeberwindrpug,Aeberwindrpug
des,der
versumpften,versumpft
Trichtergzländes,Trichtergzländ
in,in
und,und
vor,vor
unserer,unser
Ausgaugöftellung,Ausgaugöftellung
des,der
9.,9.
April,April
ftellte,ftellen
Höchste,Höchste
Anforderungen,Anforderung
an,an
die,der
Truppen,Truppe
aller,aller
Waffen,Waffe
der,der
vordersten,vorderst
Linie,Linie
.,--
An,an
ihrem,ihr
Gelingen,gelingen
haben,haben
Pioniere,Pionier
",",--
Ar-,Ar
 , 
ierungofoldaten,ierungofoldat
 , 
Artilleriefeuer,Artilleriefeuer
vernichtet,vernichten
wurden,werden
.,--
Von,von
den,der
anderen,anderer
Kriegsschaupläten,Kriegsschauplät
 , 
Der,der
Erste,erster
Generalquartiermeister,Generalquartiermeister
.,--
Ludendorff,Ludendorff
.,--
nu,nu
 , 
Amflich,Amflich
eisen,eisen
dn,dn
Es,es
betberfelts,betberfelts
R,R
De,De
erhöhte,erhöht
Rampf,Rampf
Der,der
Chef,Chef
des,der
Generalstaber,Generalstaber
.,--
 , 
Schicht,Schicht
an,an
der,der
Lys,Lys
hatten,haben
sie,sie
einen,ein
großen,groß
Teil,Teil
ihrer,ihr
schweren,schwer
Artillerie,Artillerie
dart,dart
heraus,heraus
»,--
gezogen,ziehen
",",--
um,um
ihn,ihn
zwischen,zwischen
Auere,Auer
und,und
Somme,Somm
einzuseßen,einseßen
.,--
Die,der
portugiesischen,portugiesisch
Divisionen,Division
 , 
Echwächung,Echwächung
der,der
gemeinsemen,gemeinsem
Front,Front
teuer,teuer
bezahlen,bezahlen
.,--
Wie,wie
überraschend,überraschend
der,der
neue,neu
Echhlag,Echhlag
die,der
Engländer,Engländer
traf,treffen
und,und
welche,welcher
Bestürzung,Bestürzung
herrschte,herrschen
",",--
geht,gehen
daraus,daraus
hervor,hervor
",",--
daß,daß
sie,sie
bereits,bereits
um,um
9,9
Uhr,Uhr
vormittags,vormittags
",",--
also,also
im,in
ersten,erster
Stadium,Stadium
der,der
Schlacht,Schlacht
",",--
eiligst,eiligst
den,der
Rest,Rest
ihrer,ihr
schweren,schwer
Geschüße,Geschüß
sprengten,sprengen
",",--
da-,da
 , 
uu,uu
fir,fir
gebrauchsunfähig,gebrauchsunfähig
in,in
deutsche,deutsch
Hände,Hand
 , 
telen,telen
.,--
j,j
„,--
Ein,ein
gutes,gut
Zeichen,Zeichen
“,--
.,--
London,London
",",--
12.,12.
April,April
.,--
Guardian,Guardian
schreibt,schreiben
",",--
daß,daß
bie,bien
 , 
deutsche,deutsch
",",--
Dffensios,Dffensios
7,7
Noren,Nor
.,--
bon,bon
Uros,Uro
en,--
 , 
|,|
Zoten,Zot
fei,fei
.,--
Dann,dann
",",--
wenn,wenn
die,der
Deutschen,deutsche
 , 
rfolg,rfolg
gehabt,haben
hätten,haben
",",--
würden,werden
sie,sie
nit,nit
 , 
Dieser,dieser
Angriff,Angriff
sei,sein
eine,ein
Verteidigungs,Verteidigung
:,--
maßnayme,maßnayme
 , 
1,1
|,|
zd,Zd
(,--
in,in
Vhneig,Vhneig
",",--
des,der
dis,dis
Dartichen,Dartich
",",--
M,M
den,der
as,As
|,|
gebnissen,gebnissen
im,in
Süden,Süden
jede,jeder
|,|
seien,sein
.,--
Wenn,wenn
en,--
ren,ren
Niederlage,Niederlage
entgehen,entgehen
|,|
wollten,wollen
",",--
müßten,müssen
sie,sie
die,der
englische,englisch
Armee,Armee
 , 
in,in
Frankreich,Frankreich
vernichten,vernichten
",",--
da,da
diese,dieser
der,der
 , 
für,für
die,der
Dildung,Dildung
einer,ein
ößeren,ößeren
Ar-,Ar
mon,mon
fal,fal
",",--
ie,ie
von,von
Enteeite,Enteeite
PrMerliae,PrMerliae
 , 
an,an
einer,ein
anderen,anderer
Stelle,Stelle
wieder,wieder
beginnen,beginnen
.,--
(,--
1,1
?,--
),--
|,|
 , 
!,--
die,der
Schlachf,Schlachf
an,an
der,der
Lys,Lys
",",--
Halbomtlich,Halbomtlich
wird,werden
gemeldet,melden
:,--
In,in
der,der
Schlacht,Schlacht
au,au
der,der
Lys,Lys
kam,kommen
dem,der
Feindo,Feindo
deutsche,deutsch
Artillerieinsaß,Artillerieinsaß
wieder,wieder
völlia,völlia
über-,über
Das,der
Feuer,Feuer
war,sein
von,von
vernichtender,vernichtend
Obwohl,Obwohl
anch,Anch
die,der
schwersten,schwer
Batterien,Batterie
'n,'n
vor,vor
mehreren,mehrere
Wochen,Woche
und,und
der,der
nicht,nicht
 , 
110.00,110.00
83x,83x
u,u
H,H
018,018
 , 
|,|
Berluste,Berlust
.,--
Auf,auf
breiten,breit
 , 
5,5
 , 
7,7
 , 
i,i
 , 
8,8
:,--
 , 
zi,zi
rü,rü
.,--
 , 
HH,HH
!,--
 , 
!,--
scher,sch
Toter,Toter
.,--
Umso,umso
schwerer,schwer
 , 
|,|
stare,star
Titten,Titt
die,der
Portugiesen,Portugiese
",",--
j,j
ü,ü
absichtlich,Absichtlich
solche,solcher
 , 
hatte,haben
",",--
in,in
denen,der
sie,sie
ihre,ihr
Stellu,Stellu
|,|
irdisch,irdisch
anlegen,anlegen
konnten,können
und,und
wo,wo
|,|
Dee,Dee
"""",--
vmosstollen,vmosstollen
unmöglich,unmöglich
war,sein
.,--
 , 
|,|
fil,fil
:,--
ji,ji
 , 
r,r
ei,ei
[,[
EH,EH
 , 
Der,der
neve,neve
Durchbruch,Durchbruch
.,--
 , 
Bounaf,Bounaf
.,--
militärischen,militärisch
Miiardeiten,Miiardeit
",",--
 , 
Die,der
zielbowußte,zielbowußter
Leitung,Leitung
der,der
deutschen,deutsch
Ope-,Ope
rotioneu,Rotioneu
auf,auf
dam,Dam
westlichen,westlich
Kriogsschauplaß,Kriogsschauplaß
tritt,treten
besonders,besonders
deutlich,deutlich
hervor,hervor
",",--
wenn,wenn
mas,mas
dis,dis
Bewegungen,Bewegung
der,der
deutschen,deutsch
Truppen,Truppe
während,während
der,der
leßten,leßt
Tage,Tag
in,in
der,der
Gegend,Gegend
ven,v
Armen,arme
»,--
tidres,tidr
genau,genau
verfolgt,verfolgen
und,und
betrachtet,betrachten
",",--
wie,wie
fia,fia
sich,sich
allmählich,allmählich
entwidelt,entwideln
haben,haben
.,--
Man,man
erkennt,erkennen
die,der
Meisterhand,Meisterhand
von,von
genialen,genial
Feldherren,Feldherr
",",--
wie,wie
wir,wir
fle,fle
in,in
Hindenburg,Hindenburg
und,und
Ludendorff,Ludendorff
zu,zu
vn-,vn
serem,serem
Gli,Gli
befihen,befihen
.,--
Sumiässt,sumiässt
geschah,geschehen
nur,nur
der,der
frontale,frontal
Angriff,Angriff
umd,umd
der,der
Duräbruch,Duräbruch
der,der
Feinde,Feind
üchen,üch
Stellungen,Stellung
zwischen,zwischen
Armentidres,Armentidr
und,und
dein,dein
La,La
Bass6e-Kanal,Bass6e-Kanal
",",--
webei,webei
die,der
Marschrichtung,Marschrichtung
noh,noh
Westen,Westen
zeigbs,zeigbs
.,--
Nachdem,nachdem
das,der
Gelände,Gelände
(,--
üblich,üblich
von,von
Armeutidves,Armeutidv
durthichritten,durthichritten
war,sein
",",--
sähwenkten,sähwenken
die,der
deutschen,deutsch
Truppen,Truppe
nach,nach
Norden,Norden
ein,ein
und,und
gelangten,gelangt
noch,noch
Ueberschreitung,Ueberschreitung
der,der
Lys,Lys
wotschen,wotsch
Armentidres,Armentidr
und,und
Estaires,Estair
in,in
die,der
West,West
flanke,flanken
dieses,dieser
stark,stark
bofest'gden,bofest'gd
englischen,englisch
Stüß,Stüß
»,--
punktes,punkt
.,--
Als,als
diese,dieser
Operatiowen,Operatiowe
den,der
gewünsch,gewünsch
den,der
Berlauf,Berlauf
genowminen,genowminen
hatten,haben
",",--
ging,gehen
eine,ein
zweite,zweiter
Angriffsgruppe,Angriffsgruppe
nördlich,nördlich
von,von
Armendiäres,Armendiäre
beiderseits,Beiderseits
von,von
Waasten,Waast
(,--
Warneton,Warneton
),--
in,in
west,West
«,--
Ucher,Ucher
Richtung,Richtung
vor,vor
und,und
gelangte,gelangen
nach,nach
Durdy-,Durdy
bredzung,Bredzung
der,der
feindlichen,feindlich
Stellungen,Stellung
&,&
enfalls,enfalls
in,in
die,der
Flanke,Flanke
des,der
Stüßpunktes,Stüßpunkt
",",--
Zur,zu
Sicherung,Sicherung
dieser,dieser
Umfassungsbewegung,Umfassungsbewegung
nach,nach
Norden,Norden
gegen,gegen
einen,ein
etwaigen,etwaig
feindlichen,feindlich
Angriff,Angriff
vous,vous
dem,der
Raume,Raume
von,von
Ypern,Yper
wurde,werden
gleichzeitig,gleichzeitig
der,der
Aw,Aw
ariffsflügel,Ariffsflügel
weiter,weiter
ausgsdehnt,ausgsdehnen
wad,wad
die,der
Linis,Linis
Hollebeke,Hollebeke
--,--
Messines,Messines
erobert,erobern
.,--
 , 
Die,der
beiderseitige,beiderseitig
Umfassung,Umfassung
wurde,werden
daun,daun
unter,unter
Abweisung,Abweisung
aller,aller
feindlichen,feindlich
Gegenangriffe,Gegenangriff
weitergeführt,weiterführen
",",--
bis,bis
die,der
beiden,beide
äußersten,äußersten
Flügel,Flügel
im,in
Rücken,Rücken
von,von
Armentidres,Armentidr
zusammentrafen,zusammentrafen
und,und
die,der
Stadt,Stadt
mit,mit
ihren,ihr
Verteidigern,Verteidiger
vollkom-,vollkom-
men,Men
einschlossen,einschlossen
",",--
10,10
daß,daß
den,der
Engländern,Engländer
nichs,Nich
weiter,weiter
übrig,übrig
blieb,bleiben
",",--
als,als
fich,fich
zu,zu
ergeben,ergeben
",",--
9000,9000
Gefangene,gefangener
und,und
45,45
Geschliße,Geschliße
fielen,fallen
in,in
die,der
Hände,Hand
des,der
Siegers,Sieger
.,--
Damit,damit
haben,haben
die,der
Engländer,Engländer
den,der
wichtigsten,wichtig
Stüßpunkt,Stüßpunkt
auf,auf
diesem,dieser
Abschnitte,Abschnitt
ihrer,ihr
Front,Front
verloren,verlieren
",",--
der,der
zu,zu
einer,ein
sehr,sehr
hart,hart
»,--
nädigen,nädig
Verteidigung,Verteidigung
noch,noch
Osten,Osten
vorbereitet,vorbereiten
war,sein
.,--
Das,der
Erferuliche,erferuliche
an,an
diesem,dieser
Erfolge,Erfolg
ist,sein
die,der
Tatsache,Tatsache
",",--
daß,daß
durch,durch
die,der
Umfassung,Umfassung
der,der
Flitdel,Flitdel
und,und
die,der
Einschließung,Einschließung
des,der
Ortes,Ort
der,der
schr,Schr
schwere,schwer
Frontalangriff,Frontalangriff
vermieden,vermeiden
wurde,werden
",",--
der,der
voraus,voraus
«,--
fichtlich,fichtlich
sehr,sehr
große,groß
Verluste,Verlust
zur,zu
Folz,Folz
»,--
gehabt,haben
hätte,haben
.,--
Die,der
Schonung,Schonung
der,der
Truppen,Truppe
ist,sein
aber,aber
immer,immer
ein,ein
<,<
arafteristisches,arafteristisch
Merkwal,Merkwal
der,der
deut,deut
»,--
schen,sch
Führung,Führung
gewesen,sein
",",--
wos,wos
fich,fich
sehr,sehr
wohl,wohl
uit,uit
größter,groß
Tatkraft,Tatkraft
und,und
Entschlossenheit,Entschlossenheit
vereinipen,vereinipen
läßt,lassen
.,--
Gerade,gerade
dadurch,dadurch
ist,sein
es,es
an,an
),--
mögli,Mögli
",",--
eine,ein
großangelegte,großangelegt
Angriffsbew,Angriffsbew
:,--
gung,Gung
longe,long
Zeit,Zeit
iu,iu
ununterbrochenem,ununterbrochen
Flusse,Fluß
zu,zu
halten,halten
",",--
und,und
zv,zv
ve,ve
>,>
»,--
hindern,hindern
",",--
daß,daß
die,der
Offensive,Offensive
frühzeitig,frühzeitig
ihren,ihr
Höhepunkt,Höhepunkt
exreicht,exreichen
.,--
 , 
Güdlich,Güdlich
von,von
Armentidres,Armentidres
',--
haben,haben
die,der
dertschen,dertsch
Truppen,Truppe
ihren,ihr
Vormarsch,Vormarsch
in,in
westiicher,westiich
Richtr.äg,Richtr.äg
gegen,gegen
den,der
Laweabschniit,Laweabschniit
fortgesezt,fortgesezt
",",--
den,der
sie,sie
füd-,füd
lich,lich
Estaires,Estair
bereits,bereits
überschritten,überschreiten
haben,haben
",",--
won,won
 , 
Heldendantiag,Heldendantiag
!,--
.....................,.....................
 , 
Zeder,Zeder
Deutsche,deutsche
muß,müssen
an,an
diesem,dieser
Tage,Tag
den,der
Söhnen,Söh
und,und
Brüdern,Brüdern
draußen,draußen
im,in
Felde,Feld
den,der
veißen,veiß
Dank,Dank
für,für
die,der
Heldentaten,Heldentat
",",--
für,für
den,der
siegreichen,siegreich
Schuß,Schuß
der,der
Heimat,Heimat
abstatten,abstatten
.,--
Die,der
Kriegsanleihe,Kriegsanleihe
gibt,geben
dazu,dazu
die,der
beste,gut
Gelegenheit,Gelegenheit
.,--
Dacum,dacum
muß,müssen
jeder,jeder
zeichnen,zeichnen
",",--
auch,auch
weun,weun
er,er
schon,schon
gezeichnet,zeichnen
bat,bitten
.,--
Alle,aller
Zeichnungsstellen,Zeichnungsstelle
werdon,werdon
nach,nach
der,der
Kirchzeit,Kirchzeit
geöffnet,öffnen
sein,sein
.,--
 , 
6.,6.
 , 
|,|
:,--
 , 
Bt,Bt
Rn,Rn
aet,aet
 , 
ne,ne
 , 
die,der
Mag,Mag
We,We
Ban,Ban
CH,CH
her,her
flankiert,flankieren
wird,werden
.,--
Nach,nach
den,der
 , 
8,8
 , 
Hilfe,Hilfe
zu,zu
Wanken,Wanke
geratene,geraten
englische,englisch
Front,Front
zu,zu
säßen,säßen
.,--
Dies,dieser
muß,müssen
notwendigerweise,notwendigerweise
zu,zu
einer,ein
weiteren,weit
Sersplitterung,Sersplitterung
seiner,sein
Kräfte,Kraft
führen,führen
.,--
.,--
"""",--
.,--
 , 
Die,der
Fernbeschießung,Fernbeschießung
von,von
Par,Par
!,--
s.,s.
 , 
Amtliche,amtlich
Havas,Havas
»,--
Meldung,Meldung
",",--
 , 
Paris,Paris
",",--
12,12
",",--
April,April
",",--
Die,der
Beschießung,Beschießung
des,der
Gebiets,Gebiet
von,von
Pari,Pari
»,--
durch,durch
ein,ein
weittragendes,weittragend
Grschüß,Grschüß
wurde,werden
fortzesegt,fortzesegt
.,--
Im,in
Lause,Lause
des,der
Donnerstog,Donnerstog
iraf,iraf
ein,ein
Geschoß,Geschoß
ein,ein
Findelhaus,Findelhaus
",",--
Die,der
Zahl,Zahl
der,der
Opfer,Opfer
beträgt,betragen
4,4
Tote,tote
und,und
21,21
Verwundete,Verwundet
.,--
 , 
Engiischer,Engiischer
Heeresbericht,Heeresbericht
 , 
vom,von
11.,11.
Upril,Upril
morgens,morgens
:,--
De,De
Schlacht,Schlacht
dauerten,dauern
dez,dez
genzen,genz
Front,Front
vom,von
La,La
Bosssr-Konel,Bosssr-Konel
dis,dis
zum,zu
Kona,Kona
!,--
ern,ern
=,=
Cominos,Cominos
an,an
.,--
Ernstliche,ernstlich
Gefechte,Gefecht
fan,fan
»,--
des,der
Lawe-,Lawe
und,und
des,der
Lys-Acnols,Lys-Acnol
etwa,etwa
Armentidzes,Armentidzes
statt,statt
",",--
Unsere,unser
Truppen,Truppe
Armentidres,Armentidre
",",--
das,der
von,von
Gas,Gas
er,er
»,--
ülitist,ülitisen
",",--
zurücgezogen,rücgezogen
(,--
?,--
),--
worden,werden
.,--
Nörd-,Nörd
lich,lich
von,von
Armentidres,Armentidres
unbedeutende,unbedeutend
Aenderung,Aenderung
",",--
der,der
Hyftipe,Hyftipe
Gefechte,Gefechte
dauerten,dauern
in,in
vergaugeter,vergauget
Nacht,Nacht
„,--
in,in
später,spät
Stunde,Stunde
in,in
der,der
Nähe,Nähe
wan,wan
IE,IE
und,und
Bytshaete,Bytshaeter
18,18
niht,nihen
zu,zu
Berlätene,Berlätene
190,190
Bericht,Bericht
ven,ven
11.,11.
Kk,Kk
„,--
abende,abend
:,--
Oer,oer
.,--
Feli,Feli
Betftäitte,Betftäitte
feine,feinen
Ha,Ha
Über,über
auf,auf
der,der
gesamten,gesamt
Gchlachtf,Gchlachtf
:,--
 , 
zwisch,zwisch
nN,nN
Nesen,Nese
Kämpfen,Kampf
Hat,haben
die,der
unaush,unaush
ziigen,ziig
Angriffe,Angriff
Verlusten,Verlust
für,für
den,der
schlagen,schlag
und,und
kräftige,kräftig
und,und
erfalgreiee,Erfalgreiee
ee,ee
Friffe,Friff
die,der
Etel-,Etel
FÜ,FÜ
derobert,derobern
(,--
m,m
 , 
u,u
Drtea,Drtea
udrängen,udrängen
.,--
 , 
1s2,1s2
Nw,Nw
85,85
mtwieel,mtwieel
„,--
peu,peu
ute,ute
morgen,morgen
[,[
X,X
Ingriff,Ingriff
gepen,pen
un,UN
 , 
des,der
stop,Stop
eeeler,eeel
Waldes,Wald
",",--
und,und
de,de
NF,NF
d,d
 , 
HE,HE
UNDEN,UNDEN
Welter,Welter
nörde,nörde
 , 
wurds,Wurds
der,der
Segen,Segen
unsere,unser
 , 
1d,1d
Gollebefs,Gollebef
 , 
lüge,lüg
Angriff,Angriff
von,von
her,her
9.,9.
Didision,Didision
 , 
et,et
Tite,Tite
den,der
ffelnd,ffelnd
voltkennwen,voltkennwen
abs,abs
.,--
Die,der
GHlaHt,GHlaHt
dauert,dauern
ou,Ou
der,der
zanzen,zanz
 , 
amal,Amal
 , 
(,--
eminem,emin
La,La
Basse,Basse
Anders,Anders
M,M
veitischen,veitisch
Front,Front
os,os
vechtnbn,vechtnbn
ig,IG
ruhlg,Ruhlg
.,--
 , 
dem,der
quelischen,quelisch
Berläht,Berläht
wird,werden
herbamitih,Herbamitih
eben,eben
:,--
Die,der
Engländer,Engländer
behar,behar
>,>
ten,ten
in,in
ihrom,Ihrom
Horuch,Horuch
vom,von
12.,12.
April,April
",",--
daß,daß
sie,sie
Nrmentiores,Nrmentiore
geräumt,räumen
hätten,haben
",",--
Diese,dieser
Me'duna,Me'duna
on,on
!,--
hölt,hölt
wieder,wieder
eine,einer
der,der
fblichen,fblich
bewußten,bewußt
Tatfachen»-,Tatfachen»-
Entstellungen,Entstellung
.,--
Wenn,wenn
in,in
einem,ein
festinas-,festinas
artigen,artig
Stütpunkt,Stütpunkt
eine,ein
Besatzung,Besatzung
von,von
mehr,mehr
als,als
69,69
Offizieren,Offizier
mit,mit
über,über
3000,3000
Mann,Mann
die,der
Wassen,wasse
strecken,strecken
",",--
wenn,wenn
in,in
folchem,folch
Stüßpunkt,Stüßpunkt
außerdem,außerdem
45,45
branchbare,Branchbar
schwere,schwer
Ge-,Ge
JAU,JAU
he,he
vad,vad
unversehrte,unversehrt
",",--
reich,reich
aeftillte,aeftillt
Muni,Muni
18,18
%,%
und,und
Bekleidungsdepots,Bekleidungsdepot
dem,der
Feinde,Feind
aus-,aus
Betiejart,Betiejart
werden,werden
",",--
19,19
pflegl,Pflegl
mon,mon
das,der
als,als
Üeber,Üeber
»,--
II,II
nichtaber,nichtaber
als,als
Räumung,Räumung
zu,zu
bv-,bv
de,de
EE,EE
UNE,UNE
zi,zi
umung,Umung
verfolgt,verfolgen
ensheinend,ensheinend
die,der
.,--
dem,der
FI,FI
...,--
Bundesaenossen,bundesaenossen
das,der
aufs,auf
Neue,neu
Rl,Rl
«,--
ep,ep
 , 
ersagen,Ersag
der,der
englischen,englisch
Führung,Führung
",",--
der,der
jelt,jeln
die,der
ebermaligen,ebermalig
[,[
<,<
hweren,hweren
englischen,englisch
Der-,Der
Tuße,Tuße
zu,zu
vecheimlichen,vecheimlichen
.,--
 , 
Zaiser,Zaiser
Wilhelm,Wilhelm
an,an
Kaiser,Kaiser
Karl,Karl
.,--
 , 
Telegraphischez,Telegraphischez
Bericht,Bericht
.,--
Wien,Wien
",",--
12,12
",",--
April,April
.,--
Der,der
deutsche,deutsch
Kaiser,Kaiser
hat,haben
en,--
Seine,sein
k,k
",",--
2.,2.
aposto-,aposto
lische,lisch
Masestät,Masestät
folgendes,folgend
Telegramm,Telegramm
6-pichtet,6-pichtet
:,--
„,--
Empfange,Empfange
